Quarter,Revenue_Millions,Customer_Count,Customer_Satisfaction,Employee_Count,Project_Success_Rate,Market_Share_Percent,Gross_Margin_Percent,Customer_Acquisition_Cost,Employee_Satisfaction,New_Clients_Acquired,Projects_Completed,Average_Project_Duration_Days,Cybersecurity_Revenue_Percent,Cloud_Services_Revenue_Percent,AI_Consulting_Revenue_Percent,Geographic_Regions,Top_Client_Revenue_Percent,R_D_Investment_Millions,Training_Hours_Per_Employee,Customer_Retention_Rate
Q1_2023,12.5,285,92,125,89,8.2,58,15000,78,25,45,85,5,65,0,2,48,0.8,32,88
Q2_2023,13.8,295,91,132,92,8.5,61,14500,79,28,52,82,6,67,0,2,46,0.9,35,90
Q3_2023,15.2,310,93,140,94,9.1,63,13800,81,32,58,78,8,68,0,2,44,1.1,38,91
Q4_2023,16.9,325,95,145,96,9.8,65,13200,83,35,62,75,10,70,0,2,42,1.3,42,93
Q1_2024,18.7,340,94,155,95,10.5,67,12800,84,38,68,73,12,68,2,3,41,1.5,45,94
Q2_2024,20.8,355,96,162,97,11.2,69,12400,86,42,74,70,15,65,5,3,39,1.7,48,95
Q3_2024,22.9,368,97,170,98,11.9,71,11900,87,45,81,68,18,62,8,3,38,1.9,52,96
Q4_2024,25.1,382,98,178,99,12.6,73,11500,89,48,87,65,20,60,12,3,36,2.2,55,97
Q1_2025_Target,27.8,400,98,190,98,13.5,75,11000,90,52,95,63,25,55,15,4,34,2.5,58,97
Q2_2025_Target,30.2,420,99,200,99,14.2,76,10500,91,55,102,60,30,50,18,4,32,2.8,62,98
Q3_2025_Target,32.8,440,99,210,99,14.8,77,10000,92,58,110,58,35,45,20,4,30,3.1,65,98
Q4_2025_Target,35.5,465,99,220,99,15.5,78,9500,93,62,118,55,40,40,22,5,28,3.5,68,99