marketing_spend,product_price,customer_rating,region,sales_revenue
5000,29.99,4.2,North,15000
7500,34.99,4.5,South,22000
3000,24.99,3.8,East,12000
9000,39.99,4.7,West,28000
4500,27.99,4.0,North,16500
6800,32.99,4.4,South,20500
2800,22.99,3.5,East,10800
8200,37.99,4.6,West,25200
5200,30.99,4.1,North,17800
6200,33.99,4.3,South,19200
3500,25.99,3.9,East,13500
7800,36.99,4.5,West,24800
4800,28.99,4.0,North,16200
6500,31.99,4.2,South,20800
3200,23.99,3.7,East,11500
8500,38.99,4.8,West,26500
5500,29.99,4.3,North,18500
7200,35.99,4.4,South,23200
2900,21.99,3.6,East,10200
8800,40.99,4.9,West,29800